,County1,Dem-Rep %,State1,COVID Cases per 100K
61,Mitchell,-62.24,Kansas,769.3594246529518
62,Montgomery,-50.33,Kansas,1435.797543121053
63,Morris,-46.46,Kansas,765.1245551601422
64,Morton,-71.14,Kansas,811.7510630073443
65,Nemaha,-66.36999999999999,Kansas,1329.2933242107322
66,Neosho,-46.41000000000001,Kansas,1080.7771599925034
67,Ness,-73.32,Kansas,3672.727272727273
68,Norton,-69.78,Kansas,746.1294534601753
69,Osage,-43.61,Kansas,721.0483415888144
70,Osborne,-68.63,Kansas,350.77462730195845
71,Ottawa,-64.03,Kansas,1034.3618513323984
72,Pawnee,-49.78999999999999,Kansas,6127.221702525725
73,Phillips,-72.55999999999999,Kansas,2502.865876958349
74,Pottawatomie,-50.379999999999995,Kansas,1181.150801788131
75,Pratt,-53.800000000000004,Kansas,840.2444347446531
76,Rawlins,-71.81,Kansas,2134.387351778656
77,Reno,-35.84,Kansas,1935.5463079454175
78,Republic,-65.2,Kansas,1056.9456427955133
79,Rice,-56.31,Kansas,901.7510747614557
80,Riley,-3.559999999999995,Kansas,2501.6165535079213
81,Rooks,-72.58999999999999,Kansas,2337.39837398374
82,Rush,-64.14,Kansas,2404.4795783926206
83,Russell,-66.17,Kansas,1575.262543757293
84,Saline,-34.040000000000006,Kansas,1440.3216287990556
85,Scott,-73.98,Kansas,2218.536180800332
86,Sedgwick,-18.4,Kansas,1797.5281081772416
87,Seward,-30.39,Kansas,8078.215419077842
88,Shawnee,-2.6599999999999966,Kansas,1619.2226148409893
89,Sheridan,-77.88000000000001,Kansas,1269.3375644585485
90,Sherman,-66.7,Kansas,743.6200777420989
91,Smith,-66.80000000000001,Kansas,279.09572983533354
92,Stafford,-62.56,Kansas,1443.695861405197
93,Stanton,-59.19,Kansas,3539.3818544366886
94,Stevens,-72.93,Kansas,2734.7310847766635
95,Sumner,-50.49,Kansas,932.7377824487653
96,Thomas,-68.08999999999999,Kansas,2070.20702070207
97,Trego,-69.43,Kansas,1427.0424545130218
98,Wabaunsee,-47.220000000000006,Kansas,1038.8111383638725
99,Wallace,-84.58999999999999,Kansas,1251.6469038208168
100,Washington,-65.35,Kansas,406.9552349241584
101,Wichita,-65.8,Kansas,235.96035865974517
102,Wilson,-61.1,Kansas,762.4633431085042
103,Woodson,-56.06,Kansas,764.8183556405354
104,Wyandotte,29.4,Kansas,4395.239045149278
0,Adair,-64.53999999999999,Kentucky,1749.8177273200708
1,Allen,-63.21000000000001,Kentucky,1862.538118695754
2,Anderson,-49.099999999999994,Kentucky,782.5207719699301
3,Ballard,-57.18,Kentucky,735.2941176470587
4,Barren,-49.81,Kentucky,1859.9290379443603
