,Population Density (per sq mi),County,State
256,19.8,Karnes,Texas
160,132.6,Kaufman,Texas
191,54.4,Kendall,Texas
377,0.3,Kenedy,Texas
370,1.0,Kent,Texas
199,45.1,Kerr,Texas
341,3.6,Kimble,Texas
376,0.3,King,Texas
349,2.6,Kinney,Texas
226,29.5,Kleberg,Texas
330,4.4,Knox,Texas
326,4.7,La Salle,Texas
193,53.3,Lamar,Texas
279,13.6,Lamb,Texas
231,28.0,Lampasas,Texas
254,20.0,Lavaca,Texas
232,26.2,Lee,Texas
270,15.5,Leon,Texas
183,65.2,Liberty,Texas
237,25.2,Limestone,Texas
339,3.7,Lipscomb,Texas
288,10.9,Live Oak,Texas
255,20.0,Llano,Texas
378,0.1,Loving,Texas
142,318.4,Lubbock,Texas
314,6.5,Lynn,Texas
227,29.1,Madison,Texas
238,24.6,Marion,Texas
322,5.6,Martin,Texas
331,4.4,Mason,Texas
245,22.7,Matagorda,Texas
204,43.2,Maverick,Texas
307,7.7,Mcculloch,Texas
148,226.1,Mclennan,Texas
374,0.6,Mcmullen,Texas
222,35.2,Medina,Texas
352,2.4,Menard,Texas
155,162.3,Midland,Texas
242,23.9,Milam,Texas
313,6.5,Mills,Texas
291,10.1,Mitchell,Texas
252,20.9,Montague,Texas
136,452.3,Montgomery,Texas
241,24.4,Moore,Texas
195,49.5,Morris,Texas
366,1.2,Motley,Texas
181,66.6,Nacogdoches,Texas
202,44.3,Navarro,Texas
271,15.2,Newton,Texas
268,16.5,Nolan,Texas
143,298.7,Nueces,Texas
286,11.5,Ochiltree,Texas
364,1.4,Oldham,Texas
149,218.0,Orange,Texas
229,28.4,Palo Pinto,Texas
228,29.1,Panola,Texas
162,131.6,Parker,Texas
287,11.4,Parmer,Texas
345,3.3,Pecos,Texas
210,41.2,Polk,Texas
161,132.4,Potter,Texas
354,1.9,Presidio,Texas
208,42.5,Rains,Texas
159,135.4,Randall,Texas
346,3.0,Reagan,Texas
325,4.8,Real,Texas
285,12.0,Red River,Texas
323,5.3,Reeves,Texas
301,8.9,Refugio,Texas
368,1.0,Roberts,Texas
259,19.1,Robertson,Texas
134,559.7,Rockwall,Texas
295,9.9,Runnels,Texas
188,57.7,Rusk,Texas
264,18.3,Sabine,Texas
276,14.8,San Augustine,Texas
207,42.7,San Jacinto,Texas
169,92.5,San Patricio,Texas
324,5.2,San Saba,Texas
351,2.5,Schleicher,Texas
260,18.9,Scurry,Texas
338,3.7,Shackelford,Texas
225,30.8,Shelby,Texas
344,3.3,Sherman,Texas
147,226.1,Smith,Texas
201,44.7,Somervell,Texas
194,50.5,Starr,Texas
290,10.3,Stephens,Texas
362,1.5,Sterling,Texas
360,1.5,Stonewall,Texas
347,2.7,Sutton,Texas
303,8.6,Swisher,Texas
127,2085.2,Tarrant,Texas
158,145.3,Taylor,Texas
375,0.3,Terrell,Texas
278,14.2,Terry,Texas
357,1.7,Throckmorton,Texas
175,76.4,Titus,Texas
176,73.7,Tom Green,Texas
129,1068.2,Travis,Texas
253,20.2,Trinity,Texas
244,23.0,Tyler,Texas
180,67.2,Upshur,Texas
348,2.7,Upton,Texas
266,17.2,Uvalde,Texas
272,15.2,Val Verde,Texas
186,61.2,Van Zandt,Texas
167,100.1,Victoria,Texas
171,85.9,Walker,Texas
170,86.6,Waller,Texas
282,13.2,Ward,Texas
190,54.7,Washington,Texas
174,76.9,Webb,Texas
214,37.7,Wharton,Texas
318,6.1,Wheeler,Texas
151,208.2,Wichita,Texas
280,13.6,Wilbarger,Texas
230,28.1,Willacy,Texas
138,403.0,Williamson,Texas
189,55.2,Wilson,Texas
302,8.8,Winkler,Texas
182,65.5,Wise,Texas
187,61.0,Wood,Texas
292,10.1,Yoakum,Texas
258,19.7,Young,Texas
281,13.5,Zapata,Texas
299,9.2,Zavala,Texas
662,25.3,Accomack,Virginia
591,140.3,Albemarle,Virginia
539,9466.6,Alexandria City,Virginia
649,36.0,Alleghany,Virginia
650,35.6,Amelia,Virginia
619,67.3,Amherst,Virginia
638,45.2,Appomattox,Virginia
540,8445.9,Arlington,Virginia
